2/4/13,radiometer reading,mJ Dose,Dilution,Plate 1 CFU,Plate 2 CFU,
,0.1428,180,0.001,216,16,
,0.1419,230,0.01,48,49,
,,,,,,
3/25/13 Hargy Strain,Radiometer Reading,mJ Dose,Dilution,Plate 1,Plate 2,
.1mM MnSO4,0,0,0.0001,86,85,
Grown in Generic spore media,0.1395,80,0.0001,421,516,
5day incubation,0.1382,130,0.0001,157,167,
,0.1405,180,0.001,74,51,
,0.1412,230,0.01,64,60,
,,,,,,
3/26/2013 Hargy Strain,Radiometer Reading,mJ Dose,Dilution,Plate 1,Plate 2,
.1mM MnSO4,0,0,0.0001,34,67,
Grown in .5 CB,0.1413,80,0.0001,36,28,
5 day incubation,0.1403,130,0.001,74,7,
,0.01401,180,0.001,40,28,
,0.1394,230,0.01,68,85,
,,,,,,
3/26/2013 Hargy Strain,Radiometer Reading,mJ Dose,Dilution,Plate 1,Plate 2,
.1mM MnSO4,0,0,0.00001,41,160,
Grown in Generic spore media,0.14,80,0.00001,21,26,
5 day incubation,0.1395,130,0.0001,47,54,
,0.1393,180,0.001,59,71,
,0.1398,230,0.01,71,42,
