,@type,eg:amount_beneficiaries,eg:county,eg:indicator,eg:n_beneficiaries,eg:state
8909,eg:Record,1177000,Wilson,Aged 65 or older / Men,800,Kansas
8910,eg:Record,753000,Woodson,Retirement / Retired workers,600,Kansas
8911,eg:Record,12000,Woodson,Retirement / Spouses,15,Kansas
8912,eg:Record,2000,Woodson,Retirement / Children,5,Kansas
8913,eg:Record,60000,Woodson,Survivors / Widow(er)s and parents,50,Kansas
8914,eg:Record,25000,Woodson,Survivors / Children,30,Kansas
8915,eg:Record,109000,Woodson,Disability / Disabled workers,100,Kansas
8916,eg:Record,0,Woodson,Disability / Spouses,0,Kansas
8917,eg:Record,5000,Woodson,Disability / Children,15,Kansas
8918,eg:Record,422000,Woodson,Aged 65 or older / Men,295,Kansas
8919,eg:Record,22423000,Wyandotte,Retirement / Retired workers,16540,Kansas
8920,eg:Record,368000,Wyandotte,Retirement / Spouses,535,Kansas
8921,eg:Record,205000,Wyandotte,Retirement / Children,335,Kansas
8922,eg:Record,2048000,Wyandotte,Survivors / Widow(er)s and parents,1610,Kansas
8923,eg:Record,851000,Wyandotte,Survivors / Children,1150,Kansas
8924,eg:Record,6115000,Wyandotte,Disability / Disabled workers,5305,Kansas
8925,eg:Record,9000,Wyandotte,Disability / Spouses,40,Kansas
8926,eg:Record,268000,Wyandotte,Disability / Children,870,Kansas
8927,eg:Record,11011000,Wyandotte,Aged 65 or older / Men,7420,Kansas
8928,eg:Record,3254000,Adair,Retirement / Retired workers,2855,Kentucky
8929,eg:Record,94000,Adair,Retirement / Spouses,180,Kentucky
8930,eg:Record,21000,Adair,Retirement / Children,35,Kentucky
8931,eg:Record,325000,Adair,Survivors / Widow(er)s and parents,330,Kentucky
8932,eg:Record,129000,Adair,Survivors / Children,185,Kentucky
8933,eg:Record,1006000,Adair,Disability / Disabled workers,935,Kentucky
8934,eg:Record,4000,Adair,Disability / Spouses,15,Kentucky
8935,eg:Record,55000,Adair,Disability / Children,175,Kentucky
8936,eg:Record,1812000,Adair,Aged 65 or older / Men,1450,Kentucky
8937,eg:Record,3643000,Allen,Retirement / Retired workers,2940,Kentucky
8938,eg:Record,60000,Allen,Retirement / Spouses,90,Kentucky
8939,eg:Record,32000,Allen,Retirement / Children,40,Kentucky
8940,eg:Record,330000,Allen,Survivors / Widow(er)s and parents,305,Kentucky
8941,eg:Record,177000,Allen,Survivors / Children,230,Kentucky
8942,eg:Record,1246000,Allen,Disability / Disabled workers,1115,Kentucky
8943,eg:Record,3000,Allen,Disability / Spouses,10,Kentucky
8944,eg:Record,55000,Allen,Disability / Children,170,Kentucky
8945,eg:Record,1932000,Allen,Aged 65 or older / Men,1415,Kentucky
8946,eg:Record,4393000,Anderson,Retirement / Retired workers,3235,Kentucky
8947,eg:Record,83000,Anderson,Retirement / Spouses,120,Kentucky
8948,eg:Record,36000,Anderson,Retirement / Children,45,Kentucky
8949,eg:Record,417000,Anderson,Survivors / Widow(er)s and parents,335,Kentucky
8950,eg:Record,148000,Anderson,Survivors / Children,170,Kentucky
8951,eg:Record,1014000,Anderson,Disability / Disabled workers,815,Kentucky
8952,eg:Record,5000,Anderson,Disability / Spouses,10,Kentucky
8953,eg:Record,53000,Anderson,Disability / Children,150,Kentucky
8954,eg:Record,2334000,Anderson,Aged 65 or older / Men,1520,Kentucky
8955,eg:Record,1818000,Ballard,Retirement / Retired workers,1345,Kentucky
8956,eg:Record,55000,Ballard,Retirement / Spouses,80,Kentucky
8957,eg:Record,15000,Ballard,Retirement / Children,20,Kentucky
8958,eg:Record,189000,Ballard,Survivors / Widow(er)s and parents,155,Kentucky
8959,eg:Record,57000,Ballard,Survivors / Children,75,Kentucky
8960,eg:Record,480000,Ballard,Disability / Disabled workers,405,Kentucky
8961,eg:Record,4000,Ballard,Disability / Spouses,10,Kentucky
8962,eg:Record,31000,Ballard,Disability / Children,85,Kentucky
8963,eg:Record,1063000,Ballard,Aged 65 or older / Men,675,Kentucky
8964,eg:Record,8201000,Barren,Retirement / Retired workers,6700,Kentucky
8965,eg:Record,173000,Barren,Retirement / Spouses,270,Kentucky
8966,eg:Record,61000,Barren,Retirement / Children,100,Kentucky
8967,eg:Record,832000,Barren,Survivors / Widow(er)s and parents,775,Kentucky
8968,eg:Record,256000,Barren,Survivors / Children,335,Kentucky
8969,eg:Record,2406000,Barren,Disability / Disabled workers,2180,Kentucky
8970,eg:Record,13000,Barren,Disability / Spouses,35,Kentucky
8971,eg:Record,153000,Barren,Disability / Children,430,Kentucky
8972,eg:Record,4326000,Barren,Aged 65 or older / Men,3125,Kentucky
8973,eg:Record,1948000,Bath,Retirement / Retired workers,1720,Kentucky
8974,eg:Record,66000,Bath,Retirement / Spouses,110,Kentucky
8975,eg:Record,20000,Bath,Retirement / Children,30,Kentucky
8976,eg:Record,255000,Bath,Survivors / Widow(er)s and parents,260,Kentucky
8977,eg:Record,90000,Bath,Survivors / Children,130,Kentucky
8978,eg:Record,798000,Bath,Disability / Disabled workers,750,Kentucky
8979,eg:Record,4000,Bath,Disability / Spouses,15,Kentucky
8980,eg:Record,53000,Bath,Disability / Children,140,Kentucky
8981,eg:Record,1135000,Bath,Aged 65 or older / Men,890,Kentucky
8982,eg:Record,3977000,Bell,Retirement / Retired workers,3220,Kentucky
8983,eg:Record,217000,Bell,Retirement / Spouses,375,Kentucky
8984,eg:Record,55000,Bell,Retirement / Children,90,Kentucky
8985,eg:Record,969000,Bell,Survivors / Widow(er)s and parents,920,Kentucky
8986,eg:Record,292000,Bell,Survivors / Children,400,Kentucky
8987,eg:Record,2406000,Bell,Disability / Disabled workers,2115,Kentucky
8988,eg:Record,25000,Bell,Disability / Spouses,75,Kentucky
8989,eg:Record,132000,Bell,Disability / Children,395,Kentucky
8990,eg:Record,2556000,Bell,Aged 65 or older / Men,1865,Kentucky
8991,eg:Record,20826000,Boone,Retirement / Retired workers,14200,Kentucky
8992,eg:Record,529000,Boone,Retirement / Spouses,640,Kentucky
8993,eg:Record,144000,Boone,Retirement / Children,185,Kentucky
8994,eg:Record,1912000,Boone,Survivors / Widow(er)s and parents,1370,Kentucky
8995,eg:Record,759000,Boone,Survivors / Children,845,Kentucky
8996,eg:Record,4020000,Boone,Disability / Disabled workers,3125,Kentucky
8997,eg:Record,12000,Boone,Disability / Spouses,35,Kentucky
8998,eg:Record,291000,Boone,Disability / Children,755,Kentucky
8999,eg:Record,11330000,Boone,Aged 65 or older / Men,6690,Kentucky
9000,eg:Record,4114000,Bourbon,Retirement / Retired workers,3160,Kentucky
9001,eg:Record,112000,Bourbon,Retirement / Spouses,150,Kentucky
9002,eg:Record,30000,Bourbon,Retirement / Children,45,Kentucky
9003,eg:Record,362000,Bourbon,Survivors / Widow(er)s and parents,325,Kentucky
9004,eg:Record,113000,Bourbon,Survivors / Children,155,Kentucky
9005,eg:Record,952000,Bourbon,Disability / Disabled workers,825,Kentucky
9006,eg:Record,6000,Bourbon,Disability / Spouses,15,Kentucky
9007,eg:Record,51000,Bourbon,Disability / Children,115,Kentucky
9008,eg:Record,2249000,Bourbon,Aged 65 or older / Men,1505,Kentucky
9009,eg:Record,9700000,Boyd,Retirement / Retired workers,6900,Kentucky
9010,eg:Record,410000,Boyd,Retirement / Spouses,570,Kentucky
9011,eg:Record,76000,Boyd,Retirement / Children,115,Kentucky
9012,eg:Record,1516000,Boyd,Survivors / Widow(er)s and parents,1180,Kentucky
9013,eg:Record,375000,Boyd,Survivors / Children,455,Kentucky
9014,eg:Record,3470000,Boyd,Disability / Disabled workers,2895,Kentucky
9015,eg:Record,30000,Boyd,Disability / Spouses,70,Kentucky
9016,eg:Record,184000,Boyd,Disability / Children,470,Kentucky
9017,eg:Record,5843000,Boyd,Aged 65 or older / Men,3565,Kentucky
9018,eg:Record,6179000,Boyle,Retirement / Retired workers,4620,Kentucky
9019,eg:Record,151000,Boyle,Retirement / Spouses,210,Kentucky
9020,eg:Record,46000,Boyle,Retirement / Children,70,Kentucky
9021,eg:Record,623000,Boyle,Survivors / Widow(er)s and parents,550,Kentucky
9022,eg:Record,193000,Boyle,Survivors / Children,230,Kentucky
9023,eg:Record,1483000,Boyle,Disability / Disabled workers,1325,Kentucky
9024,eg:Record,4000,Boyle,Disability / Spouses,10,Kentucky
9025,eg:Record,71000,Boyle,Disability / Children,230,Kentucky
9026,eg:Record,3273000,Boyle,Aged 65 or older / Men,2145,Kentucky
9027,eg:Record,1468000,Bracken,Retirement / Retired workers,1155,Kentucky
9028,eg:Record,55000,Bracken,Retirement / Spouses,85,Kentucky
9029,eg:Record,10000,Bracken,Retirement / Children,15,Kentucky
9030,eg:Record,198000,Bracken,Survivors / Widow(er)s and parents,180,Kentucky
9031,eg:Record,78000,Bracken,Survivors / Children,90,Kentucky
9032,eg:Record,544000,Bracken,Disability / Disabled workers,455,Kentucky
9033,eg:Record,5000,Bracken,Disability / Spouses,15,Kentucky
9034,eg:Record,32000,Bracken,Disability / Children,100,Kentucky
9035,eg:Record,852000,Bracken,Aged 65 or older / Men,595,Kentucky
9036,eg:Record,1828000,Breathitt,Retirement / Retired workers,1505,Kentucky
9037,eg:Record,97000,Breathitt,Retirement / Spouses,170,Kentucky
9038,eg:Record,42000,Breathitt,Retirement / Children,70,Kentucky
9039,eg:Record,368000,Breathitt,Survivors / Widow(er)s and parents,365,Kentucky
9040,eg:Record,182000,Breathitt,Survivors / Children,270,Kentucky
9041,eg:Record,1370000,Breathitt,Disability / Disabled workers,1170,Kentucky
9042,eg:Record,14000,Breathitt,Disability / Spouses,45,Kentucky
9043,eg:Record,82000,Breathitt,Disability / Children,240,Kentucky
9044,eg:Record,1214000,Breathitt,Aged 65 or older / Men,880,Kentucky
9045,eg:Record,3744000,Breckinridge,Retirement / Retired workers,3055,Kentucky
9046,eg:Record,132000,Breckinridge,Retirement / Spouses,210,Kentucky
9047,eg:Record,38000,Breckinridge,Retirement / Children,60,Kentucky
9048,eg:Record,511000,Breckinridge,Survivors / Widow(er)s and parents,460,Kentucky
9049,eg:Record,150000,Breckinridge,Survivors / Children,185,Kentucky
9050,eg:Record,1250000,Breckinridge,Disability / Disabled workers,1090,Kentucky
9051,eg:Record,9000,Breckinridge,Disability / Spouses,30,Kentucky
9052,eg:Record,85000,Breckinridge,Disability / Children,280,Kentucky
9053,eg:Record,2286000,Breckinridge,Aged 65 or older / Men,1640,Kentucky
9054,eg:Record,14359000,Bullitt,Retirement / Retired workers,10345,Kentucky
9055,eg:Record,398000,Bullitt,Retirement / Spouses,545,Kentucky
9056,eg:Record,92000,Bullitt,Retirement / Children,125,Kentucky
9057,eg:Record,1510000,Bullitt,Survivors / Widow(er)s and parents,1150,Kentucky
9058,eg:Record,547000,Bullitt,Survivors / Children,630,Kentucky
9059,eg:Record,3970000,Bullitt,Disability / Disabled workers,3235,Kentucky
9060,eg:Record,12000,Bullitt,Disability / Spouses,40,Kentucky
9061,eg:Record,233000,Bullitt,Disability / Children,600,Kentucky
9062,eg:Record,8039000,Bullitt,Aged 65 or older / Men,5050,Kentucky
9063,eg:Record,2326000,Butler,Retirement / Retired workers,1940,Kentucky
9064,eg:Record,65000,Butler,Retirement / Spouses,100,Kentucky
9065,eg:Record,17000,Butler,Retirement / Children,25,Kentucky
9066,eg:Record,276000,Butler,Survivors / Widow(er)s and parents,255,Kentucky
9067,eg:Record,80000,Butler,Survivors / Children,105,Kentucky
9068,eg:Record,764000,Butler,Disability / Disabled workers,680,Kentucky
9069,eg:Record,4000,Butler,Disability / Spouses,15,Kentucky
9070,eg:Record,41000,Butler,Disability / Children,115,Kentucky
9071,eg:Record,1366000,Butler,Aged 65 or older / Men,990,Kentucky
9072,eg:Record,2747000,Caldwell,Retirement / Retired workers,2135,Kentucky
9073,eg:Record,75000,Caldwell,Retirement / Spouses,110,Kentucky
9074,eg:Record,16000,Caldwell,Retirement / Children,25,Kentucky
9075,eg:Record,343000,Caldwell,Survivors / Widow(er)s and parents,290,Kentucky
9076,eg:Record,93000,Caldwell,Survivors / Children,130,Kentucky
9077,eg:Record,770000,Caldwell,Disability / Disabled workers,690,Kentucky
9078,eg:Record,3000,Caldwell,Disability / Spouses,10,Kentucky
9079,eg:Record,45000,Caldwell,Disability / Children,105,Kentucky
9080,eg:Record,1515000,Caldwell,Aged 65 or older / Men,1025,Kentucky
9081,eg:Record,7530000,Calloway,Retirement / Retired workers,5665,Kentucky
9082,eg:Record,174000,Calloway,Retirement / Spouses,250,Kentucky
9083,eg:Record,45000,Calloway,Retirement / Children,60,Kentucky
9084,eg:Record,706000,Calloway,Survivors / Widow(er)s and parents,590,Kentucky
9085,eg:Record,185000,Calloway,Survivors / Children,225,Kentucky
9086,eg:Record,1404000,Calloway,Disability / Disabled workers,1255,Kentucky
9087,eg:Record,5000,Calloway,Disability / Spouses,20,Kentucky
9088,eg:Record,90000,Calloway,Disability / Children,250,Kentucky
9089,eg:Record,4151000,Calloway,Aged 65 or older / Men,2715,Kentucky
9090,eg:Record,16352000,Campbell,Retirement / Retired workers,11485,Kentucky
9091,eg:Record,419000,Campbell,Retirement / Spouses,510,Kentucky
9092,eg:Record,84000,Campbell,Retirement / Children,125,Kentucky
9093,eg:Record,1684000,Campbell,Survivors / Widow(er)s and parents,1245,Kentucky
9094,eg:Record,507000,Campbell,Survivors / Children,585,Kentucky
9095,eg:Record,3270000,Campbell,Disability / Disabled workers,2625,Kentucky
9096,eg:Record,10000,Campbell,Disability / Spouses,30,Kentucky
9097,eg:Record,179000,Campbell,Disability / Children,490,Kentucky
9098,eg:Record,8766000,Campbell,Aged 65 or older / Men,5370,Kentucky
9099,eg:Record,1144000,Carlisle,Retirement / Retired workers,855,Kentucky
9100,eg:Record,31000,Carlisle,Retirement / Spouses,40,Kentucky
9101,eg:Record,5000,Carlisle,Retirement / Children,15,Kentucky
9102,eg:Record,148000,Carlisle,Survivors / Widow(er)s and parents,125,Kentucky
9103,eg:Record,36000,Carlisle,Survivors / Children,40,Kentucky
9104,eg:Record,291000,Carlisle,Disability / Disabled workers,250,Kentucky
9105,eg:Record,1000,Carlisle,Disability / Spouses,5,Kentucky
9106,eg:Record,22000,Carlisle,Disability / Children,65,Kentucky
9107,eg:Record,650000,Carlisle,Aged 65 or older / Men,415,Kentucky
9108,eg:Record,1929000,Carroll,Retirement / Retired workers,1515,Kentucky
9109,eg:Record,46000,Carroll,Retirement / Spouses,65,Kentucky
9110,eg:Record,12000,Carroll,Retirement / Children,20,Kentucky
9111,eg:Record,253000,Carroll,Survivors / Widow(er)s and parents,225,Kentucky
9112,eg:Record,78000,Carroll,Survivors / Children,110,Kentucky
9113,eg:Record,625000,Carroll,Disability / Disabled workers,580,Kentucky
9114,eg:Record,3000,Carroll,Disability / Spouses,10,Kentucky
9115,eg:Record,37000,Carroll,Disability / Children,130,Kentucky
9116,eg:Record,1095000,Carroll,Aged 65 or older / Men,775,Kentucky
9117,eg:Record,4610000,Carter,Retirement / Retired workers,3720,Kentucky
9118,eg:Record,243000,Carter,Retirement / Spouses,400,Kentucky
9119,eg:Record,49000,Carter,Retirement / Children,85,Kentucky
9120,eg:Record,805000,Carter,Survivors / Widow(er)s and parents,710,Kentucky
9121,eg:Record,244000,Carter,Survivors / Children,295,Kentucky
9122,eg:Record,2004000,Carter,Disability / Disabled workers,1665,Kentucky
9123,eg:Record,13000,Carter,Disability / Spouses,40,Kentucky
9124,eg:Record,127000,Carter,Disability / Children,305,Kentucky
9125,eg:Record,2908000,Carter,Aged 65 or older / Men,2035,Kentucky
9126,eg:Record,2752000,Casey,Retirement / Retired workers,2470,Kentucky
9127,eg:Record,75000,Casey,Retirement / Spouses,140,Kentucky
9128,eg:Record,25000,Casey,Retirement / Children,50,Kentucky
9129,eg:Record,357000,Casey,Survivors / Widow(er)s and parents,380,Kentucky
9130,eg:Record,96000,Casey,Survivors / Children,140,Kentucky
9131,eg:Record,901000,Casey,Disability / Disabled workers,825,Kentucky
9132,eg:Record,4000,Casey,Disability / Spouses,15,Kentucky
9133,eg:Record,53000,Casey,Disability / Children,165,Kentucky
9134,eg:Record,1516000,Casey,Aged 65 or older / Men,1240,Kentucky
9135,eg:Record,9125000,Christian,Retirement / Retired workers,7230,Kentucky
9136,eg:Record,212000,Christian,Retirement / Spouses,310,Kentucky
9137,eg:Record,76000,Christian,Retirement / Children,120,Kentucky
9138,eg:Record,1011000,Christian,Survivors / Widow(er)s and parents,895,Kentucky
9139,eg:Record,373000,Christian,Survivors / Children,510,Kentucky
9140,eg:Record,2970000,Christian,Disability / Disabled workers,2685,Kentucky
9141,eg:Record,14000,Christian,Disability / Spouses,55,Kentucky
9142,eg:Record,208000,Christian,Disability / Children,670,Kentucky
9143,eg:Record,4938000,Christian,Aged 65 or older / Men,3430,Kentucky
9144,eg:Record,7113000,Clark,Retirement / Retired workers,5285,Kentucky
9145,eg:Record,198000,Clark,Retirement / Spouses,275,Kentucky
9146,eg:Record,47000,Clark,Retirement / Children,70,Kentucky
9147,eg:Record,750000,Clark,Survivors / Widow(er)s and parents,630,Kentucky
9148,eg:Record,245000,Clark,Survivors / Children,300,Kentucky
9149,eg:Record,2017000,Clark,Disability / Disabled workers,1725,Kentucky
9150,eg:Record,7000,Clark,Disability / Spouses,20,Kentucky
9151,eg:Record,117000,Clark,Disability / Children,285,Kentucky
9152,eg:Record,4008000,Clark,Aged 65 or older / Men,2615,Kentucky
9153,eg:Record,2406000,Clay,Retirement / Retired workers,2120,Kentucky
9154,eg:Record,125000,Clay,Retirement / Spouses,245,Kentucky
9155,eg:Record,44000,Clay,Retirement / Children,95,Kentucky
9156,eg:Record,486000,Clay,Survivors / Widow(er)s and parents,535,Kentucky
9157,eg:Record,215000,Clay,Survivors / Children,300,Kentucky
9158,eg:Record,2021000,Clay,Disability / Disabled workers,1725,Kentucky
9159,eg:Record,18000,Clay,Disability / Spouses,55,Kentucky
9160,eg:Record,149000,Clay,Disability / Children,380,Kentucky
9161,eg:Record,1566000,Clay,Aged 65 or older / Men,1255,Kentucky
9162,eg:Record,1634000,Clinton,Retirement / Retired workers,1580,Kentucky
9163,eg:Record,30000,Clinton,Retirement / Spouses,60,Kentucky
9164,eg:Record,13000,Clinton,Retirement / Children,30,Kentucky
9165,eg:Record,165000,Clinton,Survivors / Widow(er)s and parents,185,Kentucky
9166,eg:Record,64000,Clinton,Survivors / Children,90,Kentucky
9167,eg:Record,639000,Clinton,Disability / Disabled workers,645,Kentucky
9168,eg:Record,2000,Clinton,Disability / Spouses,15,Kentucky
9169,eg:Record,33000,Clinton,Disability / Children,130,Kentucky
9170,eg:Record,869000,Clinton,Aged 65 or older / Men,785,Kentucky
9171,eg:Record,1973000,Crittenden,Retirement / Retired workers,1485,Kentucky
9172,eg:Record,47000,Crittenden,Retirement / Spouses,70,Kentucky
9173,eg:Record,13000,Crittenden,Retirement / Children,20,Kentucky
9174,eg:Record,234000,Crittenden,Survivors / Widow(er)s and parents,190,Kentucky
9175,eg:Record,71000,Crittenden,Survivors / Children,95,Kentucky
9176,eg:Record,586000,Crittenden,Disability / Disabled workers,465,Kentucky
9177,eg:Record,7000,Crittenden,Disability / Spouses,20,Kentucky
9178,eg:Record,32000,Crittenden,Disability / Children,95,Kentucky
9179,eg:Record,1168000,Crittenden,Aged 65 or older / Men,765,Kentucky
9180,eg:Record,1319000,Cumberland,Retirement / Retired workers,1195,Kentucky
9181,eg:Record,28000,Cumberland,Retirement / Spouses,55,Kentucky
9182,eg:Record,11000,Cumberland,Retirement / Children,20,Kentucky
9183,eg:Record,127000,Cumberland,Survivors / Widow(er)s and parents,135,Kentucky
9184,eg:Record,52000,Cumberland,Survivors / Children,70,Kentucky
9185,eg:Record,439000,Cumberland,Disability / Disabled workers,400,Kentucky
9186,eg:Record,1000,Cumberland,Disability / Spouses,5,Kentucky
9187,eg:Record,19000,Cumberland,Disability / Children,50,Kentucky
9188,eg:Record,704000,Cumberland,Aged 65 or older / Men,585,Kentucky
9189,eg:Record,20022000,Daviess,Retirement / Retired workers,14655,Kentucky
9190,eg:Record,580000,Daviess,Retirement / Spouses,755,Kentucky
9191,eg:Record,197000,Daviess,Retirement / Children,265,Kentucky
9192,eg:Record,2191000,Daviess,Survivors / Widow(er)s and parents,1685,Kentucky
9193,eg:Record,643000,Daviess,Survivors / Children,775,Kentucky
9194,eg:Record,5081000,Daviess,Disability / Disabled workers,4415,Kentucky
9195,eg:Record,20000,Daviess,Disability / Spouses,60,Kentucky
9196,eg:Record,299000,Daviess,Disability / Children,910,Kentucky
9197,eg:Record,10905000,Daviess,Aged 65 or older / Men,6860,Kentucky
9198,eg:Record,2255000,Edmonson,Retirement / Retired workers,1920,Kentucky
9199,eg:Record,62000,Edmonson,Retirement / Spouses,100,Kentucky
9200,eg:Record,13000,Edmonson,Retirement / Children,20,Kentucky
9201,eg:Record,278000,Edmonson,Survivors / Widow(er)s and parents,265,Kentucky
9202,eg:Record,88000,Edmonson,Survivors / Children,110,Kentucky
9203,eg:Record,713000,Edmonson,Disability / Disabled workers,625,Kentucky
9204,eg:Record,3000,Edmonson,Disability / Spouses,10,Kentucky
9205,eg:Record,37000,Edmonson,Disability / Children,105,Kentucky
9206,eg:Record,1321000,Edmonson,Aged 65 or older / Men,995,Kentucky
9207,eg:Record,955000,Elliott,Retirement / Retired workers,810,Kentucky
9208,eg:Record,54000,Elliott,Retirement / Spouses,95,Kentucky
9209,eg:Record,10000,Elliott,Retirement / Children,20,Kentucky
9210,eg:Record,186000,Elliott,Survivors / Widow(er)s and parents,175,Kentucky
9211,eg:Record,56000,Elliott,Survivors / Children,80,Kentucky
9212,eg:Record,581000,Elliott,Disability / Disabled workers,455,Kentucky
9213,eg:Record,9000,Elliott,Disability / Spouses,25,Kentucky
9214,eg:Record,36000,Elliott,Disability / Children,95,Kentucky
9215,eg:Record,678000,Elliott,Aged 65 or older / Men,500,Kentucky
9216,eg:Record,2279000,Estill,Retirement / Retired workers,1930,Kentucky
9217,eg:Record,99000,Estill,Retirement / Spouses,180,Kentucky
9218,eg:Record,23000,Estill,Retirement / Children,35,Kentucky
9219,eg:Record,328000,Estill,Survivors / Widow(er)s and parents,335,Kentucky
9220,eg:Record,107000,Estill,Survivors / Children,165,Kentucky
9221,eg:Record,967000,Estill,Disability / Disabled workers,890,Kentucky
9222,eg:Record,7000,Estill,Disability / Spouses,20,Kentucky
9223,eg:Record,55000,Estill,Disability / Children,165,Kentucky
9224,eg:Record,1312000,Estill,Aged 65 or older / Men,1000,Kentucky
9225,eg:Record,48397000,Fayette,Retirement / Retired workers,33420,Kentucky
9226,eg:Record,1404000,Fayette,Retirement / Spouses,1610,Kentucky
9227,eg:Record,352000,Fayette,Retirement / Children,500,Kentucky
9228,eg:Record,4433000,Fayette,Survivors / Widow(er)s and parents,3245,Kentucky
9229,eg:Record,1265000,Fayette,Survivors / Children,1515,Kentucky
9230,eg:Record,8650000,Fayette,Disability / Disabled workers,7445,Kentucky
9231,eg:Record,23000,Fayette,Disability / Spouses,65,Kentucky
9232,eg:Record,386000,Fayette,Disability / Children,1035,Kentucky
9233,eg:Record,25397000,Fayette,Aged 65 or older / Men,15255,Kentucky
9234,eg:Record,2591000,Fleming,Retirement / Retired workers,2265,Kentucky
9235,eg:Record,82000,Fleming,Retirement / Spouses,145,Kentucky
9236,eg:Record,21000,Fleming,Retirement / Children,35,Kentucky
9237,eg:Record,344000,Fleming,Survivors / Widow(er)s and parents,350,Kentucky
9238,eg:Record,122000,Fleming,Survivors / Children,165,Kentucky
9239,eg:Record,891000,Fleming,Disability / Disabled workers,805,Kentucky
9240,eg:Record,5000,Fleming,Disability / Spouses,25,Kentucky
9241,eg:Record,44000,Fleming,Disability / Children,155,Kentucky
9242,eg:Record,1485000,Fleming,Aged 65 or older / Men,1170,Kentucky
9243,eg:Record,6120000,Floyd,Retirement / Retired workers,4585,Kentucky
9244,eg:Record,314000,Floyd,Retirement / Spouses,530,Kentucky
9245,eg:Record,99000,Floyd,Retirement / Children,160,Kentucky
9246,eg:Record,1387000,Floyd,Survivors / Widow(er)s and parents,1290,Kentucky
9247,eg:Record,478000,Floyd,Survivors / Children,605,Kentucky
9248,eg:Record,4500000,Floyd,Disability / Disabled workers,3670,Kentucky
9249,eg:Record,56000,Floyd,Disability / Spouses,155,Kentucky
9250,eg:Record,348000,Floyd,Disability / Children,870,Kentucky
9251,eg:Record,4039000,Floyd,Aged 65 or older / Men,2705,Kentucky
9252,eg:Record,11980000,Franklin,Retirement / Retired workers,8920,Kentucky
9253,eg:Record,170000,Franklin,Retirement / Spouses,235,Kentucky
9254,eg:Record,156000,Franklin,Retirement / Children,215,Kentucky
9255,eg:Record,990000,Franklin,Survivors / Widow(er)s and parents,815,Kentucky
9256,eg:Record,948000,Franklin,Survivors / Children,1165,Kentucky
9257,eg:Record,2420000,Franklin,Disability / Disabled workers,2210,Kentucky
9258,eg:Record,2000,Franklin,Disability / Spouses,5,Kentucky
9259,eg:Record,137000,Franklin,Disability / Children,470,Kentucky
9260,eg:Record,6006000,Franklin,Aged 65 or older / Men,4075,Kentucky
9261,eg:Record,1361000,Fulton,Retirement / Retired workers,1075,Kentucky
9262,eg:Record,37000,Fulton,Retirement / Spouses,55,Kentucky
9263,eg:Record,10000,Fulton,Retirement / Children,20,Kentucky
9264,eg:Record,170000,Fulton,Survivors / Widow(er)s and parents,150,Kentucky
9265,eg:Record,45000,Fulton,Survivors / Children,60,Kentucky
9266,eg:Record,480000,Fulton,Disability / Disabled workers,440,Kentucky
9267,eg:Record,3000,Fulton,Disability / Spouses,10,Kentucky
9268,eg:Record,23000,Fulton,Disability / Children,70,Kentucky
9269,eg:Record,776000,Fulton,Aged 65 or older / Men,530,Kentucky
9270,eg:Record,944000,Gallatin,Retirement / Retired workers,720,Kentucky
9271,eg:Record,16000,Gallatin,Retirement / Spouses,25,Kentucky
9272,eg:Record,9000,Gallatin,Retirement / Children,15,Kentucky
9273,eg:Record,133000,Gallatin,Survivors / Widow(er)s and parents,110,Kentucky
9274,eg:Record,31000,Gallatin,Survivors / Children,40,Kentucky
9275,eg:Record,366000,Gallatin,Disability / Disabled workers,310,Kentucky
9276,eg:Record,2000,Gallatin,Disability / Spouses,5,Kentucky
9277,eg:Record,24000,Gallatin,Disability / Children,65,Kentucky
9278,eg:Record,556000,Gallatin,Aged 65 or older / Men,375,Kentucky
9279,eg:Record,3174000,Garrard,Retirement / Retired workers,2530,Kentucky
9280,eg:Record,84000,Garrard,Retirement / Spouses,135,Kentucky
9281,eg:Record,28000,Garrard,Retirement / Children,50,Kentucky
9282,eg:Record,316000,Garrard,Survivors / Widow(er)s and parents,295,Kentucky
9283,eg:Record,134000,Garrard,Survivors / Children,165,Kentucky
9284,eg:Record,1058000,Garrard,Disability / Disabled workers,905,Kentucky
9285,eg:Record,3000,Garrard,Disability / Spouses,10,Kentucky
9286,eg:Record,69000,Garrard,Disability / Children,160,Kentucky
9287,eg:Record,1777000,Garrard,Aged 65 or older / Men,1255,Kentucky
9288,eg:Record,4308000,Grant,Retirement / Retired workers,3205,Kentucky
9289,eg:Record,112000,Grant,Retirement / Spouses,160,Kentucky
9290,eg:Record,40000,Grant,Retirement / Children,60,Kentucky
9291,eg:Record,431000,Grant,Survivors / Widow(er)s and parents,375,Kentucky
9292,eg:Record,220000,Grant,Survivors / Children,270,Kentucky
9293,eg:Record,1609000,Grant,Disability / Disabled workers,1370,Kentucky
9294,eg:Record,4000,Grant,Disability / Spouses,15,Kentucky
9295,eg:Record,98000,Grant,Disability / Children,270,Kentucky
9296,eg:Record,2498000,Grant,Aged 65 or older / Men,1635,Kentucky
9297,eg:Record,7630000,Graves,Retirement / Retired workers,5870,Kentucky
9298,eg:Record,224000,Graves,Retirement / Spouses,320,Kentucky
9299,eg:Record,56000,Graves,Retirement / Children,80,Kentucky
